1,Time,The way in which mugging was done and property looted,Latitude,Longitute,,,,,,,,,,,
114,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.85922955,77.57886227,,,,,,,,,,,
115,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.555791,77.335886,,,,,,,,,,,
116,15:00-18:00,Attention diversion by indulging in small talk,12.55467,77.331429,,,,,,,,,,,
117,15:00-18:00,Attention diversion by indulging in small talk,12.55467,77.331429,,,,,,,,,,,
118,15:00-18:00,Snatching by walk & escaping with bike,12.904814,77.58981,,,,,,,,,,,
119,06:00-09:00,Snatching by walk & escaping with bike,12.553144,77.352187,,,,,,,,,,,
120,03:00-06:00,Attention diversion by indulging in small talk,12.94817043,77.56307104,,,,,,,,,,,
121,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.95332852,77.56171377,,,,,,,,,,,
122,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.90287,77.569385,,,,,,,,,,,
123,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.87547634,77.57041839,,,,,,,,,,,
124,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.91732041,77.54714605,,,,,,,,,,,
125,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9020358001,77.5813453998,,,,,,,,,,,
126,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.56889,77.333452,,,,,,,,,,,
127,18:00-21:00,Snatching by walk & escaping with bike,12.56404,77.343411,,,,,,,,,,,
128,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.93089816,77.54744682,,,,,,,,,,,
129,15:00-18:00,Snatching by walk & escaping with bike,12.92004927,77.54502608,,,,,,,,,,,
130,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.92806789,77.54939448,,,,,,,,,,,
131,15:00-18:00,Attention diversion by indulging in small talk,12.554148,77.321915,,,,,,,,,,,
132,15:00-18:00,Attention diversion by indulging in small talk,12.560791,77.321134,,,,,,,,,,,
133,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.563243,77.325147,,,,,,,,,,,
134,15:00-18:00,Snatching by walk & escaping with bike,12.555045,77.322654,,,,,,,,,,,
135,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9038653999,77.5967175,,,,,,,,,,,
136,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.9481704,77.56307101,,,,,,,,,,,
137,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.8741077,77.5791729,,,,,,,,,,,
138,06:00-09:00,Snatching by walk & escaping with bike,12.56074,77.341352,,,,,,,,,,,
139,09:00-12:00,Snatching while on the move (Accused on bike) from front,12.90875,77.561636,,,,,,,,,,,
140,09:00-12:00,Snatching while on the move (Accused on bike) from front,12.93887775,77.582686,,,,,,,,,,,
141,09:00-12:00,Snatching while on the move (Accused on bike) from front,12.92859148,77.55852428,,,,,,,,,,,
142,09:00-12:00,Snatching while on the move (Accused on bike) from front,12.92859148,77.55852428,,,,,,,,,,,
143,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.925513,77.5837291,,,,,,,,,,,
144,09:00-12:00,Snatching by walk & escaping with bike,12.935111,77.580769,,,,,,,,,,,
145,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.87015516,77.57531063,,,,,,,,,,,
146,06:00-09:00,Snatching by walk & escaping with bike,12.561519,77.341563,,,,,,,,,,,
147,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.554172,77.34824,,,,,,,,,,,
148,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.554172,77.34824,,,,,,,,,,,
149,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.561192,77.343135,,,,,,,,,,,
150,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.561192,77.343135,,,,,,,,,,,
151,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9322811,77.56034863,,,,,,,,,,,
152,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.555748,77.350379,,,,,,,,,,,
153,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.88620138,77.58048334,,,,,,,,,,,
154,06:00-09:00,Attention diversion by indulging in small talk,12.90983384,77.55743531,,,,,,,,,,,
155,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.917105,77.556541,,,,,,,,,,,
156,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.563401,77.332266,,,,,,,,,,,
157,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.937897,77.582686,,,,,,,,,,,
158,18:00-21:00,Snatching by walk & escaping with bike,12.93159332,77.54876183,,,,,,,,,,,
159,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.88328789,77.58130555,,,,,,,,,,,
160,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.562607,77.341076,,,,,,,,,,,
161,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.9063314,77.59179,,,,,,,,,,,
162,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.554497,77.342206,,,,,,,,,,,
163,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.554497,77.342206,,,,,,,,,,,
164,12:00-15:00,Snatching by walk & escaping with bike,12.923937,77.589322,,,,,,,,,,,
165,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.9308057,77.55821487,,,,,,,,,,,
166,09:00-12:00,Snatching with assault,12.90123583,77.55476619,,,,,,,,,,,
167,12:00-15:00,Snatching by walk & escaping with bike,12.9291409,77.5774467,,,,,,,,,,,
168,15:00-18:00,Snatching by walk & escaping with bike,12.9225454,77.5880374,,,,,,,,,,,
