1,Time,The way in which mugging was done and property looted,Latitude,Longitute,,,,,,,,,,,
561,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9150487559,77.6080594594,,,,,,,,,,,
562,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9105372355,77.6091888936,,,,,,,,,,,
563,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.91851465,77.6078508672,,,,,,,,,,,
564,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.8960836948,77.6084706128,,, ,,,,,,,,
565,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9150486577,77.6080595277,,,,,,,,,,,
566,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9150487559,77.6080594594,,,,,,,,,,,
567,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.545,"
77.365",,,,,,,,,,,
568,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.532392,77.362963,,,,,,,,,,,
569,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.544933,77.362694,-,,,,,,,,,,
570,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.555423,77.362437,,,,,,,,,,,
571,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.545095,77.364791,,,,,,,,,,,
572,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.544641,77.363202,,,,,,,,,,,
573,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.8551523006,77.6674257415,,,,,,,,,,,
574,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.8741974,77.6695938585,,,,,,,,,,,
575,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.8882529,77.64889421,,,,,,,,,,,
576,06:00-09:00,Attention diversion by indulging in small talk,12.5399312,77.39237024,,,,,,,,,,,
577,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.555813,77.351415,,,,,,,,,,,
578,12:00-15:00,Snatching while on the move (Accused on bike) from front,12.55054,77.353679,,,,,,,,,,,
579,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.555994,77.351777,,,,,,,,,,,
580,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.555274,77.352751,,,,,,,,,,,
581,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.55657,77.355282,,,,,,,,,,,
582,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.553711,77.354089,,,,,,,,,,,
583,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.55872,77.355165,,,,,,,,,,,
584,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.553371,77.354513,,,,,,,,,,,
585,03:00-06:00,Snatching while on the move (Accused on bike) from back,12.56122,77.351471,,,,,,,,,,,
586,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.551612,77.34288,,,,,,,,,,,
587,18:00-21:00,Accused was on foot,12.95551886,77.72710156,,,,,,,,,,,
588,18:00-21:00,Accused was on foot,12.95551886,77.72710156,,,,,,,,,,,
589,18:00-21:00,Accused was on foot,12.955735,77.720489,,,,,,,,,,,
590,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.98815,77.731797,,,,,,,,,,,
